Abbreviation,Full Name,Status
VER,Max Verstappen,Finished
PIA,Oscar Piastri,Finished
NOR,Lando Norris,Finished
LEC,Charles Leclerc,Finished
RUS,George Russell,Finished
ALO,Fernando Alonso,Finished
OCO,Esteban Ocon,Finished
HAM,Lewis Hamilton,Finished
HUL,Nico Hulkenberg,Finished
STR,Lance Stroll,Finished
BOR,Gabriel Bortoleto,Finished
BEA,Oliver Bearman,Finished
SAI,Carlos Sainz,Finished
TSU,Yuki Tsunoda,Finished
ANT,Kimi Antonelli,Finished
ALB,Alexander Albon,Finished
HAD,Isack Hadjar,Lapped
LAW,Liam Lawson,Lapped
GAS,Pierre Gasly,Lapped
COL,Franco Colapinto,Lapped
